آ	INT$آ+
چنانست	ADV$چنان+ COP3SG
چنانستم	ADV$چنان+ COP1SG
چنانستی	ADV$چنان+ COP2SG
چنانم	ADV$چنان+ COP1SG
چنانند	ADV$چنان+ COP3PL
چنانی	ADV$چنان+ COP2SG
چنانید	ADV$چنان+ COP2PL
چنانیم	ADV$چنان+ COP1PL
چند	NUM$چند+SG&ADV$چند+
چندان	NUM$چند+PL&ADV$چندان+
چندانت	NUM$چند+PL PRO2SG
چندانست	NUM$چند+PL COP3SG&ADV$چندان+ COP3SG
چندانش	NUM$چند+PL PRO3SG
چندانم	NUM$چند+PL PRO1SG#PL COP1SG&ADV$چندان+ COP1SG
چندانکه	NUM$چند+PL CONJ
چندانی	NUM$چند+PL YEH#PL COP2SG&ADV$چندان+ COP2SG
چندانیم	NUM$چند+PL COP1PL#PL YEH COP1SG&ADV$چندان+ COP1PL
چندت	NUM$چند+SG PRO2SG
چندست	NUM$چند+SG COP3SG&ADV$چند+ COP3SG
چندش	NUM$چند+SG PRO3SG
چندشان	NUM$چند+SG PRO3PL
چندم	NUM$چند+SG PRO1SG#SG COP1SG&PRO$چندم+SG&ADV$چند+ COP1SG
چندمان	NUM$چند+SG PRO1PL&PRO$چندم+PL
چندند	NUM$چند+SG COP3PL&ADV$چند+ COP3PL
چندها	NUM$چند+PL
چندهاست	NUM$چند+PL COP3SG
چندی	NUM$چند+SG COP2SG#SG YEH&ADV$چند+ COP2SG*چندی+
چندید	NUM$چند+SG COP2PL&ADV$چند+ COP2PL
چندیست	NUM$چند+SG YEH COP3SG&ADV$چندی+ COP3SG
چندیم	NUM$چند+SG YEH COP1SG#SG COP1PL&ADV$چند+ COP1PL*چندی+ COP1SG
چندین	NUM$چندین+SG
چندینت	NUM$چندین+SG PRO2SG
چندینست	NUM$چندین+SG COP3SG
چندینش	NUM$چندین+SG PRO3SG
چندینم	NUM$چندین+SG PRO1SG#SG COP1SG
چندینی	NUM$چندین+SG COP2SG#SG YEH
چنین	PRO$چنین+SG&ADV$چنین+
چنینان	PRO$چنین+PL
چنینت	PRO$چنین+SG PRO2SG
چنینتان	PRO$چنین+SG PRO2PL
چنینست	PRO$چنین+SG COP3SG&ADV$چنین+ COP3SG
چنینستم	PRO$چنین+SG COP1SG&ADV$چنین+ COP1SG
چنینستی	PRO$چنین+SG COP2SG&ADV$چنین+ COP2SG
چنینش	PRO$چنین+SG PRO3SG
چنینم	PRO$چنین+SG PRO1SG#SG COP1SG&ADV$چنین+ COP1SG
چنینمی	PRO$چنین+SG PRO1SG COP2SG#SG PRO1SG YEH
چنینند	PRO$چنین+SG COP3PL&ADV$چنین+ COP3PL
چنینها	PRO$چنین+PL
چنینی	PRO$چنین+SG COP2SG#SG YEH&ADV$چنین+ COP2SG
چنینیم	PRO$چنین+SG YEH COP1SG#SG COP1PL&ADV$چنین+ COP1PL
چنین‌اند	PRO$چنین+SG COP3PL&ADV$چنین+ COP3PL
چنین‌ست	PRO$چنین+SG COP3SG&ADV$چنین+ COP3SG
چنین‌ها	PRO$چنین+PL
چه	PRO$چه+SG&ADV$چه+
چها	PRO$چها+SG
چهار	NUM$چهار+SG
چهاران	NUM$چهار+PL
چهارانش	NUM$چهار+PL PRO3SG
چهارت	NUM$چهار+SG PRO2SG
چهارده	NUM$چهارده+SG
چهاردهم	NUM$چهارده+SG PRO1SG
چهارست	NUM$چهار+SG COP3SG
چهارستی	NUM$چهار+SG COP2SG
چهارش	NUM$چهار+SG PRO3SG
چهارم	NUM$چهار+SG PRO1SG#SG COP1SG
چهارمی	NUM$چهار+SG PRO1SG COP2SG#SG PRO1SG YEH
چهارند	NUM$چهار+SG COP3PL
چهاری	NUM$چهار+SG COP2SG#SG YEH
چهاست	PRO$چها+SG COP3SG
چهش	PRO$چه+SG PRO3SG
چهل	NUM$چهل+SG
چهم	PRO$چه+SG PRO1SG
چهکه	PRO$چه+SG CONJ
چه‌ئی	PRO$چه+SG YEH
چه‌ام	PRO$چه+SG PRO1SG#SG COP1SG&ADV$چه+ COP1SG
چه‌اند	PRO$چه+SG COP3PL&ADV$چه+ COP3PL
چه‌ای	PRO$چه+SG COP2SG&ADV$چه+ COP2SG
چه‌اید	PRO$چه+SG COP2PL&ADV$چه+ COP2PL
چه‌ایم	PRO$چه+SG COP1PL&ADV$چه+ COP1PL
چه‌ت	PRO$چه+SG PRO2SG
چه‌ش	PRO$چه+SG PRO3SG
چه‌شان	PRO$چه+SG PRO3PL
چه‌م	PRO$چه+SG PRO1SG#SG COP1SG&ADV$چه+ COP1SG
چه‌ها	PRO$چه+PL
چه‌هات	PRO$چه+PL PRO2SG
چه‌هاست	PRO$چه+PL COP3SG
چه‌هاشان	PRO$چه+PL PRO3PL
چه‌های	PRO$چه+PL EZ#PL COP2SG
چه‌ی	PRO$چه+SG COP2SG#SG EZ&ADV$چه+ COP2SG
چون	ADV$چون+
چونان	PRO$چونان+SG
چونانست	PRO$چونان+SG COP3SG
چونانش	PRO$چونان+SG PRO3SG
چونانکه	PRO$چونان+SG CONJ
چونست	ADV$چون+ COP3SG
چونم	ADV$چون+ COP1SG
چونند	ADV$چون+ COP3PL
چونی	ADV$چون+ COP2SG
چونید	ADV$چون+ COP2PL
چونیم	ADV$چون+ COP1PL
چگان	PRO$چه+PL
چگونه	PRO$چگونه+SG&ADV$چگونه+
چگونه‌ام	PRO$چگونه+SG PRO1SG#SG COP1SG&ADV$چگونه+ COP1SG
چگونه‌ای	PRO$چگونه+SG COP2SG&ADV$چگونه+ COP2SG
چگونه‌اید	PRO$چگونه+SG COP2PL&ADV$چگونه+ COP2PL
چگونه‌ست	PRO$چگونه+SG COP3SG&ADV$چگونه+ COP3SG
چگونه‌ی	PRO$چگونه+SG COP2SG#SG EZ&ADV$چگونه+ COP2SG
چی	PRO$چی+SG
چیان	PRO$چی+PL
چیست	PRO$چیست+SG*چی+SG COP3SG
چیستت	PRO$چیست+SG PRO2SG
چیستتان	PRO$چیست+SG PRO2PL
چیستش	PRO$چیست+SG PRO3SG
چیستشان	PRO$چیست+SG PRO3PL
چیستم	PRO$چیست+SG PRO1SG#SG COP1SG*چی+SG COP1SG
چیستمی	PRO$چیست+SG PRO1SG COP2SG#SG PRO1SG YEH
چیستند	PRO$چیست+SG COP3PL*چی+SG COP3PL
چیستی	PRO$چیست+SG COP2SG#SG YEH*چی+SG COP2SG
چیستید	PRO$چیست+SG COP2PL*چی+SG COP2PL
چیم	PRO$چی+SG PRO1SG#SG COP1SG
چیند	PRO$چی+SG COP3PL
چیی	PRO$چی+SG COP2SG#SG EZ
چییم	PRO$چی+SG PRO1SG#SG COP1PL
ژغژغ	INT$ژغژغ+
کات	PRO$که+PL
کاتش	PRO$که+PL PRO3SG
کاتشست	PRO$که+PL PRO3SG COP3SG
کاتشم	PRO$که+PL PRO3SG COP1SG
کاتشی	PRO$که+PL PRO3SG YEH#PL PRO3SG COP2SG
کافرانه	ADV$کافرانه+
کافه‌ی	PRO$کافه+SG COP2SG#SG EZ
کاملا	ADV$کاملا+
کاهلانه	ADV$کاهلانه+
کتابی	ADV$کتابی+
کتابیست	ADV$کتابی+ COP3SG
کج	ADV$کج+
کجا	PRO$کجا+SG&ADV$کجا+
کجائی	PRO$کجا+SG YEH
کجائیست	PRO$کجا+SG YEH COP3SG
کجائیم	PRO$کجا+SG YEH COP1SG
کجات	PRO$کجا+SG PRO2SG
کجاتان	PRO$کجا+SG PRO2PL
کجاست	PRO$کجا+SG COP3SG&ADV$کجا+ COP3SG
کجاستی	PRO$کجا+SG COP2SG&ADV$کجا+ COP2SG
کجاش	PRO$کجا+SG PRO3SG
کجام	PRO$کجا+SG PRO1SG#SG COP1SG&ADV$کجا+ COP1SG
کجاها	PRO$کجا+PL
کجاهاش	PRO$کجا+PL PRO3SG
کجاهایی	PRO$کجا+PL YEH
کجای	PRO$کجا+SG COP2SG#SG EZ&ADV$کجا+ COP2SG
کجایت	PRO$کجا+SG PRO2SG
کجایم	PRO$کجا+SG PRO1SG#SG COP1PL&ADV$کجا+ COP1PL
کجایی	PRO$کجا+SG YEH
کجاییم	PRO$کجا+SG YEH COP1SG
کجست	ADV$کج+ COP3SG
کجم	ADV$کج+ COP1SG
کجی	ADV$کج+ COP2SG
کج‌ای	ADV$کج+ COP2SG
کرها	ADV$کرها+
کریمانه	ADV$کریمانه+
کس	PRO$کس+SG
کسان	PRO$کس+PL
کسانرا	PRO$کس+PL POSTP
کسانست	PRO$کس+PL COP3SG
کسانش	PRO$کس+PL PRO3SG
کسانم	PRO$کس+PL PRO1SG#PL COP1SG
کسانند	PRO$کس+PL COP3PL
کسانی	PRO$کس+PL YEH#PL COP2SG
کسانیکه	PRO$کس+PL COP2SG CONJ#PL YEH CONJ
کست	PRO$کس+SG PRO2SG
کستان	PRO$کس+SG PRO2PL
کستی	PRO$کس+SG PRO2SG COP2SG#SG PRO2SG YEH
کسرا	PRO$کس+SG POSTP
کسست	PRO$کس+SG COP3SG
کسستم	PRO$کس+SG COP1SG
کسستی	PRO$کس+SG COP2SG
کسش	PRO$کس+SG PRO3SG
کسم	PRO$کس+SG PRO1SG#SG COP1SG
کسمان	PRO$کس+SG PRO1PL
کسمانست	PRO$کس+SG PRO1PL COP3SG
کسها	PRO$کس+PL
کسهای	PRO$کس+PL EZ#PL COP2SG
کسی	PRO$کس+SG COP2SG#SG YEH
کسیرا	PRO$کس+SG YEH POSTP
کسیست	PRO$کس+SG YEH COP3SG
کسیم	PRO$کس+SG YEH COP1SG#SG COP1PL
کسیکه	PRO$کس+SG YEH CONJ#SG COP2SG CONJ
کسی‌ام	PRO$کس+SG YEH COP1SG
کسی‌اند	PRO$کس+SG YEH COP3PL
کسی‌ست	PRO$کس+SG YEH COP3SG
کس‌ام	PRO$کس+SG COP1SG
کس‌مان	PRO$کس+SG PRO1PL
کشکشان	ADV$کشکشان+
کشیده	ADV$کشیده+
کشیده‌است	ADV$کشیده+ COP3SG
کشیده‌ام	ADV$کشیده+ COP1SG
کشیده‌اند	ADV$کشیده+ COP3PL
کشیده‌ای	ADV$کشیده+ COP2SG
کشیده‌ایم	ADV$کشیده+ COP1PL
کشیده‌ست	ADV$کشیده+ COP3SG
کشیده‌ی	ADV$کشیده+ COP2SG
کف‌زنان	ADV$کف‌زنان+
کل	PRO$کل+SG
کلا	ADV$کلا+
کلام	ADV$کلا+ COP1SG
کلان	PRO$کل+PL
کلانست	PRO$کل+PL COP3SG
کلانم	PRO$کل+PL PRO1SG#PL COP1SG
کلانی	PRO$کل+PL YEH#PL COP2SG
کلت	PRO$کل+SG PRO2SG
کلست	PRO$کل+SG COP3SG
کلش	PRO$کل+SG PRO3SG
کلم	PRO$کل+SG PRO1SG#SG COP1SG
کلمان	PRO$کل+SG PRO1PL
کلمی	PRO$کل+SG PRO1SG COP2SG#SG PRO1SG YEH
کلند	PRO$کل+SG COP3PL
کلها	PRO$کل+PL
کلهم	PRO$کلهم+SG
کلی	PRO$کل+SG COP2SG#SG YEH&ADV$کلی+
کلیات	PRO$کلیه+PL
کلیت	PRO$کلیت+SG
کلید	PRO$کل+SG COP2PL
کلیست	PRO$کل+SG YEH COP3SG&ADV$کلی+ COP3SG
کلیم	PRO$کل+SG YEH COP1SG#SG COP1PL&ADV$کلی+ COP1SG
کلیه	PRO$کلیه+SG
کل‌تان	PRO$کل+SG PRO2PL
کم	ADV$کم+
کما	ADV$کما+
کمابیش	ADV$کمابیش+
کمابیشم	ADV$کمابیش+ COP1SG
کمابیشی	ADV$کمابیش+ COP2SG
کماهی	ADV$کماهی+
کمای	ADV$کما+ COP2SG
کمتر	ADV$کمتر+
کمترست	ADV$کمتر+ COP3SG
کمترستم	ADV$کمتر+ COP1SG
کمترم	ADV$کمتر+ COP1SG
کمترند	ADV$کمتر+ COP3PL
کمترک	ADV$کمترک+
کمتری	ADV$کمتر+ COP2SG
کمتریم	ADV$کمتر+ COP1PL
کمست	ADV$کم+ COP3SG
کمم	ADV$کم+ COP1SG
کمند	ADV$کم+ COP3PL
کمی	ADV$کم+ COP2SG*کمی+
کمید	ADV$کم+ COP2PL
کمیست	ADV$کمی+ COP3SG
کمیم	ADV$کم+ COP1PL*کمی+ COP1SG
کمی‌ی	ADV$کمی+ COP2SG
کم‌کم	INT$کم‌کم+&ADV$کم‌کم+
کنایه	ADV$کنایه+
کند	ADV$کند+
کندست	ADV$کند+ COP3SG
کندم	ADV$کند+ COP1SG
کندند	ADV$کند+ COP3PL
کندی	ADV$کند+ COP2SG
کندیم	ADV$کند+ COP1PL
که	PRO$که+SG
کهت	PRO$که+SG PRO2SG
کهترا	PRO$که+SG PRO2SG POSTP
کهش	PRO$که+SG PRO3SG
کهم	PRO$که+SG PRO1SG
که‌اش	PRO$که+SG PRO3SG
که‌ام	PRO$که+SG PRO1SG#SG COP1SG
که‌اند	PRO$که+SG COP3PL
که‌ای	PRO$که+SG COP2SG
که‌اید	PRO$که+SG COP2PL
که‌ایم	PRO$که+SG COP1PL
که‌ت	PRO$که+SG PRO2SG
که‌تان	PRO$که+SG PRO2PL
که‌ش	PRO$که+SG PRO3SG
که‌شان	PRO$که+SG PRO3PL
که‌م	PRO$که+SG PRO1SG#SG COP1SG
که‌مان	PRO$که+SG PRO1PL
که‌ها	PRO$که+PL
که‌هات	PRO$که+PL PRO2SG
که‌های	PRO$که+PL EZ#PL COP2SG
که‌ی	PRO$که+SG COP2SG#SG EZ
کودکانه	ADV$کودکانه+
کودکانه‌ای	ADV$کودکانه+ COP2SG
کوشان	ADV$کوشان+
کی	PRO$کی+SG&ADV$کی+
کیان	PRO$کی+PL
کیانش	PRO$کی+PL PRO3SG
کیانم	PRO$کی+PL PRO1SG#PL COP1SG
کیانند	PRO$کی+PL COP3PL
کیانی	PRO$کی+PL YEH#PL COP2SG
کیانید	PRO$کی+PL COP2PL
کیانیم	PRO$کی+PL COP1PL#PL YEH COP1SG
کیت	PRO$کی+SG PRO2SG
کیست	PRO$کی+SG COP3SG&ADV$کی+ COP3SG
کیستم	PRO$کی+SG COP1SG&ADV$کی+ COP1SG
کیستند	PRO$کی+SG COP3PL&ADV$کی+ COP3PL
کیستی	PRO$کی+SG COP2SG&ADV$کی+ COP2SG
کیستیم	PRO$کی+SG COP1PL&ADV$کی+ COP1PL
کیش	INT$کیش+&PRO$کی+SG PRO3SG
کیشان	PRO$کی+SG PRO3PL
کیشانست	PRO$کی+SG PRO3PL COP3SG
کیشت	INT$کیش+ PRO2SG
کیشست	PRO$کی+SG PRO3SG COP3SG
کیشش	INT$کیش+ PRO3SG
کیشم	INT$کیش+ PRO1SG&PRO$کی+SG PRO3SG COP1SG
کیشی	PRO$کی+SG PRO3SG COP2SG#SG PRO3SG YEH
کیشی‌ست	PRO$کی+SG PRO3SG YEH COP3SG
کیش‌اند	PRO$کی+SG PRO3SG COP3PL
کیم	PRO$کی+SG PRO1SG#SG COP1SG&ADV$کی+ COP1SG
کیمان	PRO$کی+SG PRO1PL
کیمی	PRO$کی+SG PRO1SG COP2SG#SG PRO1SG YEH
کیند	PRO$کی+SG COP3PL&ADV$کی+ COP3PL
کیی	PRO$کی+SG COP2SG#SG EZ&ADV$کی+ COP2SG
کیید	PRO$کی+SG COP2PL&ADV$کی+ COP2PL
کییم	PRO$کی+SG PRO1SG#SG COP1PL&ADV$کی+ COP1PL
کیییم	PRO$کی+SG YEH COP1SG
کی‌ام	PRO$کی+SG COP1SG&ADV$کی+ COP1SG
کی‌اند	PRO$کی+SG COP3PL&ADV$کی+ COP3PL
گاه	ADV$گاه+
گاه‌گاه	ADV$گاه‌گاه+
گذراند	ADV$گذرا+ COP3PL
گران	ADV$گران+
گرانست	ADV$گران+ COP3SG
گرانستی	ADV$گران+ COP2SG
گرانم	ADV$گران+ COP1SG
گرانند	ADV$گران+ COP3PL
گرانی	ADV$گران+ COP2SG
گرانید	ADV$گران+ COP2PL
گرانیم	ADV$گران+ COP1PL
گران‌ست	ADV$گران+ COP3SG
گرده	PRO$گرده+SG
گردهم	PRO$گرده+SG PRO1SG
گرده‌ای	PRO$گرده+SG COP2SG
گرده‌ها	PRO$گرده+PL
گرده‌هات	PRO$گرده+PL PRO2SG
گرده‌ی	PRO$گرده+SG COP2SG#SG EZ
گردگان	PRO$گرده+PL
گردگانست	PRO$گرده+PL COP3SG
گردگانی	PRO$گرده+PL YEH#PL COP2SG
گرم	ADV$گرم+
گرمست	ADV$گرم+ COP3SG
گرمم	ADV$گرم+ COP1SG
گرمند	ADV$گرم+ COP3PL
گرمی	ADV$گرم+ COP2SG
گرمیم	ADV$گرم+ COP1PL
گرم‌اند	ADV$گرم+ COP3PL
گروگر	INT$گروگر+
گروگرش	INT$گروگر+ PRO3SG
گستاخانه	ADV$گستاخانه+
گسسته	ADV$گسسته+
گسسته‌ام	ADV$گسسته+ COP1SG
گسسته‌ای	ADV$گسسته+ COP2SG
گسسته‌ستند	ADV$گسسته+ COP3PL
گسسته‌ی	ADV$گسسته+ COP2SG
گشاد	ADV$گشاد+
گشادست	ADV$گشاد+ COP3SG
گشادستی	ADV$گشاد+ COP2SG
گشادستیم	ADV$گشاد+ COP1PL
گشادم	ADV$گشاد+ COP1SG
گشادند	ADV$گشاد+ COP3PL
گشاده	ADV$گشاده+
گشاده‌است	ADV$گشاده+ COP3SG
گشاده‌ام	ADV$گشاده+ COP1SG
گشاده‌اند	ADV$گشاده+ COP3PL
گشاده‌ای	ADV$گشاده+ COP2SG
گشاده‌ایم	ADV$گشاده+ COP1PL
گشاده‌ست	ADV$گشاده+ COP3SG
گشاده‌ستی	ADV$گشاده+ COP2SG
گشاده‌ی	ADV$گشاده+ COP2SG
گشادی	ADV$گشاد+ COP2SG
گشادیم	ADV$گشاد+ COP1PL
گنگ	ADV$گنگ+
گنگست	ADV$گنگ+ COP3SG
گنگم	ADV$گنگ+ COP1SG
گنگی	ADV$گنگ+ COP2SG
گنگ‌اند	ADV$گنگ+ COP3PL
گهی	ADV$گهی+
گهیست	ADV$گهی+ COP3SG
گهیم	ADV$گهی+ COP1SG
گویا	ADV$گویا+
گویاست	ADV$گویا+ COP3SG
گویاستی	ADV$گویا+ COP2SG
گویای	ADV$گویا+ COP2SG
گویی	ADV$گویی+
گوییا	ADV$گوییا+
گوییست	ADV$گویی+ COP3SG
گوییم	ADV$گویی+ COP1SG
گوییی	ADV$گویی+ COP2SG
را	POSTP$را+
ترا	PRO$تو+ POSTP
مرا	PRO$من+ POSTP
بدین	PRO$این+PREP
بدان	PRO$آن+PREP
بداو	PRO$او+PREP
